name,city,verdict,confidence,website_found,domain,phone,address,rating,category,gmaps_url,evidence,phases_completed
Open Air Restaurant,Lucknow,has_website,90,https://magicpin.in/Lucknow/Gomti-Nagar/Restaurant/Open-Air-Restaurant/store/1243b7/menu/?id=8&img=Food-Menu,,,,4815996,restaurants,,"Phase1: 50 domain variants generated;   openair.co.in → 200 (PARKED);   openair.co.in → 200 (PARKED); Phase2: 13 search results across engines;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
The Coconut Chutney Lucknow,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 13 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: full biz name in content; Phase3: No social profiles found; Score: no_site=188, has_site=88, net=100, phases=3/5",3
The Peddler’s Cafe,Lucknow,has_website,85,https://o2osell.com/shops/the-peddlers-cafe,,,,4815996,restaurants,,"Phase1: 60 domain variants generated; Phase2: 11 search results across engines;   LangSearch: address mentions Lucknow, branch/outlet in city mentioned;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars, branch/outlet in city mentioned",2
Royal Cafe(Hazratganj),Lucknow,no_website,85,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: branch/outlet in city mentioned;   LangSearch: branch/outlet in city mentioned; Phase3: No social profiles found; Score: no_site=128, has_site=59, net=69, phases=3/5",3
Tunday Kababi,Lucknow,has_website,95,https://tundaykababi.com,tundaykababi.com,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   ✅ tundaykababi.com → MATCH: full biz name in content, biz name in title, address mentions Lucknow, domain == biz name, branch/outlet in city mentioned",1
The Terrace,Lucknow,has_website,95,https://theterrace.com,theterrace.com,,,4815996,restaurants,,"Phase1: 35 domain variants generated;   ✅ theterrace.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
"SORA BISTRO: Best Aesthetic Cafe in Gomti Nagar For Couples, Dinner, Birthday and Kitty Party Celebration",Lucknow,no_website,60,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 10 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow, branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow, branch/outlet in city mentioned;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Low confidence — needs manual review; Score: no_site=138, has_site...",3
Arabania Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 45 domain variants generated; Phase2: 5 search results across engines;   LangSearch: full biz name in content; Phase3: No social profiles found; Score: no_site=212, has_site=40, net=172, phases=3/5",3
Kokkam,Lucknow,has_website,90,https://www.district.in/dining/lucknow/kokkam-1-gomti-nagar,,,,4815996,restaurants,,"Phase1: 20 domain variants generated; Phase2: 6 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow, short/generic name, domain mismatch",2
"Bikanervala | LuLu Mall, Lucknow",Lucknow,no_website,70,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 14 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Low confidence — needs manual review; Score: no_site=154, has_site=118, net=36, phases=3/5",3
The Royal Fusion (TRF Lucknow),Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 5 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=188, has_site=60, net=128, phases=3/5",3
Plum- All Day Dining,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 55 domain variants generated; Phase2: 5 search results across engines; Phase3: No social profiles found; Score: no_site=248, has_site=30, net=218, phases=3/5",3
"S F C -Best Soya Chaap Restaurants in Ashiyana,Lucknow-Best Soya chaap shop in lda aashiyana lucknow",Lucknow,no_website,80,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 8 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: branch/outlet in city mentioned; Phase3: No social profiles found; Score: no_site=138, has_site=95, net=43, phases=3/5",3
TeeJay's Cafe & Restaurant,Lucknow,no_website,85,,,,,4815996,restaurants,,"Phase1: 50 domain variants generated;   ? teejayscafe.co.in → full biz name in content, domain ≈ biz name;   → No subpage confirmation;   ? teejayscafe.co.in → full biz name in content, domain ≈ biz name;   → No subpage confirmation; Phase2: 12 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: add...",3
mocha cafe & bar,Lucknow,has_website,90,https://wanderlog.com/place/details/413979/mocha-cafe--bar,,,,4815996,restaurants,,"Phase1: 50 domain variants generated;   mochacafe.com → 403 (PARKED);   mochacafe.com → 403 (PARKED); Phase2: 9 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow, branch/outlet in city mentioned",2
The Hazelnut Factory - Cafe in Lucknow,Lucknow,has_website,90,https://restaurant-guru.in/The-Hazelnut-Factory-Lucknow,,,,4815996,restaurants,,"Phase1: 45 domain variants generated; Phase2: 9 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
METROPOLITAN CLUB'S,Lucknow,uncertain,45,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   ? metropolitanclubs.com → address mentions Lucknow, domain == biz name;   → No subpage confirmation;   ? metropolitanclubs.com → address mentions Lucknow, domain == biz name;   → No subpage confirmation; Phase2: 15 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow, domain ≈ biz name;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Luck...",3
Limone Lounge,Lucknow,has_website,90,https://www.limonelounge.com/,,,,4815996,restaurants,,"Phase1: 45 domain variants generated; Phase2: 13 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Jalori Gate Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=255, has_site=0, net=255, phases=3/5",3
Royal Rangoli Restaurant,Lucknow,has_website,90,https://www.eazydiner.com/lucknow/royal-rangoli-restaurant-lda-colony-lucknow-704838,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 13 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Barkaas Indo-Arabic Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 3 search results across engines;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=228, has_site=25, net=203, phases=3/5",3
Kalika Kothi,Lucknow,has_website,90,https://openinghoursindia.com/017792060/Kalika_Kothi?showhours=yy,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 8 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Best Choice Of Awadh,Lucknow,has_website,90,https://www.eazydiner.com/lucknow/best-choice-of-awadh-gomti-nagar-lucknow-659773/about,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 9 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Karim’s Lucknow Lalbagh,Lucknow,no_website,90,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines; Phase3: No social profiles found; Score: no_site=128, has_site=45, net=83, phases=3/5",3
Dobaraa,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 20 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=113, has_site=0, net=113, phases=3/5",3
Barkaas Indo-Arabic Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 9 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=228, has_site=80, net=148, phases=3/5",3
Masaaledar Momos || Best Chinese Restaurant in Gomti Nagar Lucknow,Lucknow,no_website,90,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 4 search results across engines;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=138, has_site=40, net=98, phases=3/5",3
Aryan Kapoorthala,Lucknow,has_website,90,https://servicebee.in/p/aryan-kapoorthala-12980/,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 4 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
BIGG DADDY,Lucknow,has_website,90,https://www.findglocal.com/IN/Lucknow/1832445133732473/Bigg-Daddy,,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   thebiggdaddy.in → 200 (PARKED);   thebiggdaddy.in → 200 (PARKED);   biggdaddy.com → 403 (PARKED);   biggdaddy.com → 403 (PARKED); Phase2: 9 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Mirage- The Lounge & Sky Mirage,Lucknow,no_website,70,,,,,4815996,restaurants,,Phase1: 30 domain variants generated;   mlsm.net → 200 (PARKED);   mlsm.net → 200 (PARKED); Phase2: 15 search results across engines;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: branch/outlet in city mentioned;   LangSearch: address mentions Lucknow;   LangSearch: address mentions L...,3
Zao,Lucknow,has_website,95,https://zao.org,zao.org,,,4815996,restaurants,,"Phase1: 15 domain variants generated;   zao.in → 200 (PARKED);   zao.in → 200 (PARKED);   ✅ zao.org → MATCH: full biz name in content, biz name in title, domain == biz name",1
Royal Cafe,Lucknow,has_website,95,https://royalcafe.in,royalcafe.in,,,4815996,restaurants,,"Phase1: 45 domain variants generated;   theroyalcafe.in → 200 (PARKED);   theroyalcafe.in → 200 (PARKED);   ✅ royalcafe.in → MATCH: full biz name in content, biz+city in title, biz+city within 150 chars, domain == biz name, branch/outlet in city mentioned",1
Aryan Hazratganj,Lucknow,has_website,90,https://www.theweddingcompany.com/wedding-venues/lucknow/aryan-hazratganj-hazratganj,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 9 search results across engines;   LangSearch: branch/outlet in city mentioned;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Moti Mahal Delux - Hazratganj,Lucknow,no_website,80,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 15 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: full biz name in content;   LangSearch: full biz name in content; Phase3: No social profiles found; Score: no_site=161, has_site=110, net=51, phases=3/5",3
FalakNuma Restaurant,Lucknow,has_website,90,https://us.trip.com/restaurant/india/lucknow/detail/falaknuma-restaurant-19953714/,,,,4815996,restaurants,,"Phase1: 45 domain variants generated;   falaknuma.com → 200 (PARKED);   falaknuma.com → 200 (PARKED);   falaknuma.in → 200 (PARKED);   falaknuma.in → 200 (PARKED); Phase2: 10 search results across engines;   LangSearch: full biz name in content;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
The Urban Terrace,Lucknow,has_website,90,https://www.glotels.com/IN/Lucknow/121846564644705/The-Urban-Terrace,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 15 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Ritzz Continental Corner,Lucknow,has_website,90,https://m.weddingz.in/lucknow/ritzz-continental-corner-mahanagar/,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow, branch/outlet in city mentioned",2
Cafe Repertwahr,Lucknow,has_website,90,https://restaurant-guru.in/Cafe-Repertwahr-Lucknow,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Naushijaan Restaurant - Large Range Of Awadhi Kebab,Lucknow,has_website,90,https://app.wanderlog.com/place/details/1491318,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 9 search results across engines;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
The Kalika Hut Restaurant Pvt Ltd,Lucknow,has_website,90,https://wanderboat.ai/restaurants/the-kalika-hut-restaurant-pvt-ltd/70503c0a-925a-4fad-abec-d77182e28817,,,,4815996,restaurants,,"Phase1: 45 domain variants generated; Phase2: 10 search results across engines;   ✅ LangSearch confirmed: full biz name in content, address mentions Lucknow",2
Oudhyana,Lucknow,has_website,90,https://www.tajhotels.com/en-in/hotels/taj-mahal-lucknow/restaurants/oudhyana,,,,4815996,restaurants,,"Phase1: 20 domain variants generated; Phase2: 5 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow, short/generic name, domain mismatch",2
Bombay Pav Bhaji,Lucknow,has_website,90,https://www.eazydiner.com/lucknow/bombay-pav-bhaji-hazratganj-lucknow-660276/menu,,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   bombaypavbhaji.in → 200 (PARKED);   bombaypavbhaji.in → 200 (PARKED); Phase2: 12 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Aadab-e-Dastarkhwan Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 5 search results across engines;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow;   LangSearch: address mentions Lucknow; Phase3: No social profiles found; Score: no_site=228, has_site=65, net=163, phases=3/5",3
Cappuccino Blast Mall Avenue,Lucknow,has_website,90,https://www.foodyas.com/IN/Lucknow/131203265218/Cappuccino-Blast-Mall-Avenue,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 15 search results across engines;   ✅ LangSearch confirmed: full biz name in content, address mentions Lucknow, branch/outlet in city mentioned",2
The Marigold- Fine Dine Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 65 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=243, has_site=0, net=243, phases=3/5",3
Risotto Cafe and Lounge,Lucknow,has_website,90,https://risotto-cafe-and-lounge.menufyy.com/,,,,4815996,restaurants,,"Phase1: 50 domain variants generated; Phase2: 5 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, domain ≈ biz name",2
Jc Cafe,Lucknow,has_website,85,https://jccafe.in,jccafe.in,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   ✅ jccafe.in → MATCH: full biz name in content, domain == biz name",1
Bhukkad Dosa 2.0 -Best South Indian Dosa Restaurant in Lucknow,Lucknow,has_website,90,https://readymap.in/af/257128/84780,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 10 search results across engines;   LangSearch: address mentions Lucknow;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars",2
Marksmen,Lucknow,has_website,95,https://marksmen.com,marksmen.com,,,4815996,restaurants,,"Phase1: 20 domain variants generated;   ✅ marksmen.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
Zaika Of Lucknow Family Restaurant,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 55 domain variants generated; Phase2: No search results found (3 engines); Phase3: No social profiles found; Score: no_site=253, has_site=0, net=253, phases=3/5",3
BEERA MUTTON,Lucknow,no_website,85,,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 5 search results across engines; Phase3: No social profiles found; Score: no_site=128, has_site=53, net=75, phases=3/5",3
The Piccadily Lucknow,Lucknow,has_website,85,https://website.informer.com/piccadilylucknow.co.in?cf=1,,,,4815996,restaurants,,"Phase1: 40 domain variants generated; Phase2: 15 search results across engines;   LangSearch: full biz name in content;   LangSearch: address mentions Lucknow, domain ≈ biz name;   LangSearch: full biz name in content;   LangSearch: full biz name in content;   LangSearch: full biz name in content;   ✅ Search confirmed: full biz name in content",2
"Nothing Before Coffee - Indira Nagar, Lucknow",Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 4 search results across engines; Phase3: No social profiles found; Score: no_site=138, has_site=25, net=113, phases=3/5",3
Walk This Way Fine Dine Restaurant,Lucknow,has_website,85,https://datagemba.com/b/v/in/lucknow/sushi/ChIJC7ow9b7imzkRDnW3tWltz4s,,,,4815996,restaurants,,"Phase1: 55 domain variants generated; Phase2: 5 search results across engines;   LangSearch: full biz name in content;   ✅ Search confirmed: full biz name in content, biz+city in title, biz+city within 150 chars",2
Spice Sutra,Lucknow,has_website,90,https://www.restaurants10.com/IN/Lucknow/100152275416820/Spice-Sutra,,,,4815996,restaurants,,"Phase1: 25 domain variants generated;   spicesutra.com → 403 (PARKED);   spicesutra.com → 403 (PARKED);   spicesutra.in → 200 (PARKED);   spicesutra.in → 200 (PARKED);   spice-sutra.com → 200 (PARKED);   spice-sutra.com → 200 (PARKED); Phase2: 11 search results across engines;   ✅ LangSearch confirmed: full biz name in content, address mentions Lucknow",2
The cherry tree cafe,Lucknow,has_website,85,https://thecherrytreecafe.com,thecherrytreecafe.com,,,4815996,restaurants,,"Phase1: 60 domain variants generated;   ✅ thecherrytreecafe.com → MATCH: full biz name in content, domain == biz name",1
Ginger Eats & Arts,Lucknow,has_website,90,https://wanderlog.com/place/details/12065851,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 8 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Idrees Biryani,Lucknow,has_website,90,https://restaurant-guru.in/Idrees-Biryani-Lucknow-2,,,,4815996,restaurants,,"Phase1: 25 domain variants generated; Phase2: 14 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
Pizzaport & Cafe - Best Restaurant in Lucknow,Lucknow,no_website,93,,,,,4815996,restaurants,,"Phase1: 30 domain variants generated; Phase2: 4 search results across engines; Phase3: No social profiles found; Score: no_site=138, has_site=25, net=113, phases=3/5",3
Punjab Restaurant,Lucknow,has_website,95,https://punjab-restaurant.com,punjab-restaurant.com,,,4815996,restaurants,,"Phase1: 45 domain variants generated;   thepunjabrestaurant.com → 403 (PARKED);   thepunjabrestaurant.com → 403 (PARKED);   thepunjab.co.in → 200 (PARKED);   thepunjab.co.in → 200 (PARKED);   punjabrestaurant.in → 200 (PARKED);   punjabrestaurant.in → 200 (PARKED);   ✅ punjab-restaurant.com → MATCH: full biz name in content, biz name in title, domain == biz name",1
Birendra Mahal - All Day Dining,Lucknow,has_website,90,https://alwaysdial.com/business/300103/index.php,,,,4815996,restaurants,,"Phase1: 55 domain variants generated;   bmadd.com → 403 (PARKED);   bmadd.com → 403 (PARKED); Phase2: 10 search results across engines;   ✅ LangSearch confirmed: full biz name in content, biz+city within 150 chars, address mentions Lucknow",2
